Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
49c,39.5,13.5,29.5,2.1975649289805856,
50,29.5,-72.5,-2.5,2.6122542484154665,456
50a,35.5,-70.5,-8.5,2.5836226975851977,
51,49.5,-60.5,-42.5,2.610060880861424,184
52,-36.5,-32.5,-32.5,2.607453352909263,88
53,21.5,27.5,47.5,2.605983091464038,656
53a,25.5,35.5,49.5,2.2968402206714753,
54,17.5,-84.5,5.5,2.585390369177966,304
54a,21.5,-76.5,7.5,2.105623310591445,
55,-32.5,67.5,-12.5,2.584433511522733,264
56,9.5,71.5,-20.5,2.5814350078375714,184
56a,3.5,65.5,-20.5,2.380104466134884,
57,37.5,-34.5,41.5,2.5757550062330585,200
58,55.5,-8.5,25.5,2.5676371370058457,448
59,63.5,-50.5,33.5,2.566755740191828,192
60,-4.5,-32.5,-52.5,2.5665575929012765,208
61,-28.5,-50.5,49.5,2.54630789820679,120
62,33.5,41.5,-6.5,2.5376858541666536,144
63,-30.5,-32.5,77.5,2.5303684977838006,80
64,-34.5,-76.5,-2.5,2.5177337624942417,152
65,-54.5,31.5,15.5,2.5117965947546197,152
66,-52.5,-58.5,47.5,2.5065944187894575,432
66a,-50.5,-42.5,31.5,2.313187441549003,
66b,-52.5,-48.5,41.5,2.1553301275994174,
67,25.5,33.5,-24.5,2.5038672550532763,104
67a,33.5,33.5,-26.5,2.187908792739531,
68,-6.5,23.5,-16.5,2.4864335367397667,112
69,-48.5,-12.5,11.5,2.4862739893589385,416
70,-28.5,-86.5,31.5,2.478671615024183,160
71,3.5,-34.5,-68.5,2.4405961477018727,136
72,-6.5,-18.5,37.5,2.4331285710342043,128
73,-8.5,17.5,23.5,2.430189903335907,104
74,37.5,-80.5,31.5,2.4200726928465857,192
75,9.5,-54.5,75.5,2.4181128332324855,104
76,39.5,-58.5,29.5,2.4105881401607627,144
77,29.5,25.5,-2.5,2.3855961201881293,128
78,23.5,-78.5,-30.5,2.381786047350817,128
79,-24.5,25.5,59.5,2.370646621210802,248
79a,-22.5,21.5,51.5,2.1217450224874934,
80,47.5,-42.5,57.5,2.365233381599914,160
81,-30.5,-34.5,-38.5,2.361696482570141,200
82,45.5,31.5,-10.5,2.352029566469705,96
83,17.5,1.5,-0.5,2.3512691104028405,200
84,-16.5,-32.5,77.5,2.3465887374820764,248
85,-54.5,-18.5,23.5,2.3178176947975464,168
86,-36.5,-16.5,37.5,2.315181449163216,240
87,-38.5,-32.5,-24.5,2.3110931944509923,88
88,-12.5,-6.5,59.5,2.2833476869649663,224
89,21.5,-60.5,69.5,2.2701819913780485,120
90,-38.5,-8.5,51.5,2.263961821201024,112
91,5.5,-6.5,75.5,2.2445196292167906,152
92,45.5,-76.5,15.5,2.241231308980876,136
93,-14.5,-50.5,39.5,2.220141270028748,232
94,69.5,-18.5,-6.5,2.2033211218895175,112
94a,65.5,-28.5,-8.5,2.1965052899023396,
95,-24.5,-72.5,51.5,2.18055089609928,368
95a,-28.5,-78.5,47.5,2.144052728735789,
96,49.5,3.5,25.5,2.1739780141315004,96
97,-44.5,29.5,19.5,2.1628545291365464,104
98,7.5,-86.5,-32.5,2.1463793798532347,96
99,-14.5,-18.5,-14.5,2.131388605830505,96
100,-8.5,-36.5,77.5,2.0854213329075364,96
101,-16.5,3.5,67.5,2.0776444146856012,96
184,21.5,-38.5,53.5,-3.809314224539472,336
185,19.5,-38.5,-30.5,-3.6072297695150968,744
185a,15.5,-28.5,-34.5,-2.3552699400009587,
186,7.5,-50.5,-26.5,-3.418683327372965,400
187,29.5,-22.5,31.5,-3.1033229556958535,376
188,19.5,-10.5,49.5,-2.921156804151088,440
189,7.5,-4.5,-4.5,-2.8875560164819083,1544
189a,-0.5,-26.5,3.5,-2.824374809983733,
189b,3.5,-16.5,1.5,-2.535313179541449,
189c,7.5,-10.5,-2.5,-2.4402236882602844,
190,7.5,-20.5,-44.5,-2.872347537202696,88
191,47.5,-6.5,-0.5,-2.7137313539401555,96
192,-6.5,-46.5,-50.5,-2.7005196467395107,472
193,-0.5,-24.5,-38.5,-2.6989425064211945,168
194,-10.5,-56.5,-28.5,-2.694068174373445,696
194a,-10.5,-40.5,-26.5,-2.436115289352788,
195,-16.5,35.5,21.5,-2.602766320297296,176
196,-34.5,11.5,-14.5,-2.5948132749787165,168
197,-8.5,79.5,7.5,-2.5601523482075152,120
198,5.5,-36.5,-34.5,-2.538300914366584,104
199,-6.5,37.5,17.5,-2.4469765889449864,88
200,-18.5,-14.5,47.5,-2.3978051802486533,112
201,-38.5,-8.5,27.5,-2.379733380107044,104
202,25.5,41.5,15.5,-2.274990676243584,88
203,-16.5,-14.5,5.5,-2.211177866356956,80
204,-22.5,-50.5,-48.5,-2.1699127564286824,88
