Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
1,21.5,-38.5,53.5,3.809314224539472,336
2,19.5,-38.5,-30.5,3.6072297695150968,744
2a,15.5,-28.5,-34.5,2.3552699400009587,
3,7.5,-50.5,-26.5,3.418683327372965,400
4,29.5,-22.5,31.5,3.1033229556958535,376
5,19.5,-10.5,49.5,2.921156804151088,440
6,7.5,-4.5,-4.5,2.8875560164819083,1544
6a,-0.5,-26.5,3.5,2.824374809983733,
6b,3.5,-16.5,1.5,2.535313179541449,
6c,7.5,-10.5,-2.5,2.4402236882602844,
7,7.5,-20.5,-44.5,2.872347537202696,88
8,47.5,-6.5,-0.5,2.7137313539401555,96
9,-6.5,-46.5,-50.5,2.7005196467395107,472
10,-0.5,-24.5,-38.5,2.6989425064211945,168
11,-10.5,-56.5,-28.5,2.694068174373445,696
11a,-10.5,-40.5,-26.5,2.436115289352788,
12,-16.5,35.5,21.5,2.602766320297296,176
13,-34.5,11.5,-14.5,2.5948132749787165,168
14,-8.5,79.5,7.5,2.5601523482075152,120
15,5.5,-36.5,-34.5,2.538300914366584,104
16,-6.5,37.5,17.5,2.4469765889449864,88
17,-18.5,-14.5,47.5,2.3978051802486533,112
18,-38.5,-8.5,27.5,2.379733380107044,104
19,25.5,41.5,15.5,2.274990676243584,88
20,-16.5,-14.5,5.5,2.211177866356956,80
21,-22.5,-50.5,-48.5,2.1699127564286824,88
27,23.5,-14.5,-18.5,-3.8893474230294824,13352
27a,41.5,23.5,-30.5,-3.5929379455022437,
27b,27.5,-30.5,-22.5,-3.5757867591568893,
27c,39.5,23.5,-38.5,-3.2266077873044625,
28,-14.5,-54.5,27.5,-3.887147774568405,4824
28a,-4.5,-56.5,29.5,-3.096292727713057,
28b,7.5,-62.5,29.5,-3.0023671339740687,
28c,7.5,-48.5,23.5,-2.9334693881128815,
29,-14.5,53.5,41.5,-3.7975557171056398,16752
29a,-10.5,69.5,9.5,-3.5453493635406548,
29b,5.5,67.5,-0.5,-3.43108900719687,
29c,-14.5,41.5,51.5,-3.389968355985587,
30,-64.5,-34.5,-8.5,-3.6894580963501764,3968
30a,-64.5,-42.5,-10.5,-3.312082848431157,
30b,-56.5,-42.5,-14.5,-3.2729731943353744,
30c,-66.5,-44.5,-4.5,-3.073850406934756,
31,49.5,3.5,55.5,-3.624282644545022,3264
31a,39.5,-2.5,61.5,-3.0798310120874985,
31b,19.5,1.5,73.5,-2.9693129216485064,
31c,15.5,-2.5,57.5,-2.951641690675407,
32,7.5,11.5,23.5,-3.6207023291533638,416
33,-58.5,-2.5,-30.5,-3.602933687019286,11176
33a,-48.5,11.5,-32.5,-3.527779484554705,
33b,-68.5,-12.5,-16.5,-3.095048388321739,
33c,-30.5,-0.5,-34.5,-3.083467770055636,
34,-54.5,-56.5,27.5,-3.56295362814566,6024
34a,-36.5,-56.5,25.5,-3.390980366201253,
34b,-44.5,-46.5,21.5,-3.296309537904671,
34c,-36.5,-64.5,27.5,-3.182997604875001,
35,-50.5,1.5,53.5,-3.5620517095039794,4264
35a,-32.5,1.5,35.5,-2.7049863537331666,
35b,-32.5,-2.5,57.5,-2.667605829419783,
35c,-54.5,21.5,35.5,-2.646533674785778,
36,35.5,-62.5,-54.5,-3.471170809196527,1936
37,63.5,-44.5,-10.5,-3.4067658342792835,1640
37a,59.5,-54.5,-10.5,-2.8540592766216615,
37b,55.5,-48.5,-6.5,-2.7678627410736527,
