Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
63c,57.5,11.5,-18.5,-2.5266906165817686,
64,29.5,-54.5,45.5,-2.928232111216394,536
65,57.5,-10.5,23.5,-2.8825972637721162,584
65a,65.5,-10.5,31.5,-2.2143438261934585,
66,-42.5,-0.5,19.5,-2.8606610387871245,168
67,-12.5,-36.5,81.5,-2.84587855804684,1360
67a,-18.5,-44.5,81.5,-2.8149633216529195,
67b,-16.5,-32.5,75.5,-2.4937308341464597,
67c,-8.5,-34.5,77.5,-2.4239284147814217,
68,31.5,15.5,25.5,-2.8430141757970766,368
69,15.5,-4.5,31.5,-2.84011076593042,336
69a,13.5,-14.5,31.5,-2.5499905876408904,
70,45.5,-36.5,3.5,-2.829259237025834,328
71,-14.5,-86.5,1.5,-2.8225702201617295,400
71a,-20.5,-76.5,5.5,-2.1248300208110864,
72,-4.5,-32.5,-50.5,-2.81221715556586,328
73,59.5,-56.5,-10.5,-2.811783712276009,384
73a,55.5,-50.5,-6.5,-2.1111126599195043,
74,19.5,3.5,73.5,-2.807218367205212,224
75,-46.5,-14.5,13.5,-2.8056903910576287,816
75a,-58.5,-12.5,11.5,-2.637418185229574,
76,37.5,1.5,-48.5,-2.7754296088869115,80
77,11.5,-42.5,37.5,-2.7358024373858023,1280
77a,9.5,-32.5,35.5,-2.6624657026024563,
78,-60.5,7.5,-0.5,-2.7254786673182663,96
79,25.5,-80.5,-22.5,-2.725164724611426,280
79a,17.5,-86.5,-22.5,-2.5084055329295007,
80,33.5,41.5,-6.5,-2.7205743089300722,216
81,-38.5,-34.5,-32.5,-2.7102154874912268,128
82,-34.5,-76.5,-2.5,-2.7035908641637127,176
83,61.5,-20.5,-28.5,-2.6823400236564394,216
84,31.5,-52.5,-8.5,-2.675818652951904,336
85,43.5,31.5,-10.5,-2.668374729206175,592
85a,47.5,23.5,-12.5,-2.5583155288914736,
85b,51.5,31.5,-12.5,-2.489857057044247,
86,21.5,-60.5,69.5,-2.653353060845052,680
86a,19.5,-54.5,75.5,-2.404302366552782,
86b,15.5,-62.5,71.5,-2.3088432401939025,
87,-30.5,-32.5,-12.5,-2.638996137295747,1624
87a,-28.5,-16.5,-16.5,-2.6200760614589353,
87b,-22.5,-28.5,-12.5,-2.226396991963219,
88,49.5,-52.5,-42.5,-2.6044299382622755,336
89,-2.5,71.5,-20.5,-2.597291210256931,288
89a,-0.5,65.5,-26.5,-2.279037635378562,
90,-18.5,21.5,-16.5,-2.594870507966166,328
90a,-22.5,29.5,-20.5,-2.505687740044104,
90b,-18.5,17.5,-16.5,-2.312722816654991,
90c,-18.5,27.5,-18.5,-2.2736020169467586,
91,47.5,25.5,31.5,-2.5846552444079536,576
91a,47.5,15.5,33.5,-2.1997493356523274,
92,37.5,-34.5,39.5,-2.5765187642998857,144
93,-26.5,-30.5,13.5,-2.575831361629852,304
94,25.5,33.5,-24.5,-2.5594861082104474,176
94a,33.5,33.5,-26.5,-2.1001283656642453,
95,-6.5,15.5,25.5,-2.5567122458016884,208
96,23.5,-94.5,-14.5,-2.5503338054678566,96
97,67.5,-24.5,-6.5,-2.5472657087357025,200
98,37.5,-26.5,15.5,-2.5454251986408116,280
99,-36.5,23.5,53.5,-2.539882414266658,80
100,-30.5,-32.5,-38.5,-2.5195433070297417,136
100a,-26.5,-36.5,-44.5,-2.1483919201939368,
101,41.5,39.5,19.5,-2.5140425906599995,320
102,11.5,33.5,-0.5,-2.51357129217403,136
103,-14.5,43.5,1.5,-2.5011219102610642,104
104,-38.5,65.5,-8.5,-2.4972087449825096,232
105,-68.5,-22.5,-14.5,-2.4900363271791734,88
106,21.5,-2.5,-2.5,-2.4798320073147497,80
107,1.5,13.5,-20.5,-2.458739439819176,112
108,19.5,-68.5,-4.5,-2.450153958901483,1280
108a,29.5,-72.5,-2.5,-2.3614890959204056,
