Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
69a,-32.5,-62.5,-52.5,-2.390423532878438,
69b,-22.5,-62.5,-58.5,-2.386802163953844,
70,61.5,3.5,-26.5,-2.8729985350459186,200
71,9.5,-12.5,-42.5,-2.8721089070544963,336
72,45.5,-50.5,59.5,-2.8493756985235437,2784
72a,31.5,-68.5,53.5,-2.738638699098656,
72b,49.5,-46.5,45.5,-2.3465037575938377,
72c,19.5,-76.5,57.5,-2.3188724913466476,
73,-20.5,51.5,-20.5,-2.828367730723539,104
74,39.5,47.5,-4.5,-2.808865258778749,216
75,19.5,-44.5,17.5,-2.7901093681461138,232
76,-16.5,27.5,-14.5,-2.7802422324137295,152
77,7.5,-98.5,7.5,-2.751444573170888,360
77a,17.5,-104.5,1.5,-2.5549768725294717,
78,35.5,-80.5,-36.5,-2.740981591259149,192
79,-24.5,-2.5,39.5,-2.7178564520388626,80
80,15.5,13.5,1.5,-2.7163374614934774,1128
80a,9.5,5.5,5.5,-2.712682540547179,
80b,17.5,7.5,1.5,-2.4165872653864424,
81,-42.5,53.5,-6.5,-2.7080624430861335,424
81a,-34.5,51.5,-6.5,-2.353706492506837,
82,-20.5,-22.5,37.5,-2.6486858529451682,136
83,-64.5,-50.5,-12.5,-2.6433267958344127,128
83a,-62.5,-58.5,-8.5,-2.601685326072406,
84,55.5,-66.5,-0.5,-2.638915858527247,232
85,-10.5,1.5,75.5,-2.637329133961657,112
86,-22.5,-74.5,61.5,-2.6353823133439382,168
87,-28.5,-48.5,9.5,-2.6285682194069073,192
88,-30.5,-48.5,49.5,-2.6215660110943424,176
89,27.5,3.5,61.5,-2.5980281344842266,1040
89a,17.5,-2.5,57.5,-2.0449916820936,
90,31.5,-92.5,-4.5,-2.590881188775237,120
91,45.5,-48.5,-30.5,-2.580106705343018,168
92,1.5,-48.5,-2.5,-2.5571708254872174,208
93,-44.5,19.5,49.5,-2.556433333412452,88
94,7.5,-86.5,-14.5,-2.552572672253439,176
95,-40.5,-6.5,59.5,-2.55063783035305,416
96,-50.5,31.5,15.5,-2.535912225184078,696
96a,-44.5,27.5,19.5,-2.3798448562858967,
96b,-36.5,33.5,19.5,-2.3606413867123326,
97,27.5,47.5,41.5,-2.5352134353938394,120
98,-24.5,-60.5,-38.5,-2.5154197550719664,184
99,55.5,33.5,1.5,-2.5110996837280886,232
100,-22.5,1.5,19.5,-2.4927224548929194,184
101,-58.5,-22.5,-12.5,-2.456709268571951,128
102,1.5,-72.5,53.5,-2.4479385080733325,128
103,33.5,51.5,31.5,-2.4370939952852675,312
103a,41.5,45.5,31.5,-2.309109334269156,
104,27.5,71.5,-0.5,-2.426097400310358,112
105,43.5,23.5,43.5,-2.4251669801253057,344
105a,43.5,19.5,53.5,-2.3473111452967417,
105b,45.5,25.5,35.5,-1.9852368122724835,
106,17.5,-0.5,31.5,-2.4218168023118407,104
107,37.5,-70.5,-10.5,-2.396997505024088,200
107a,45.5,-66.5,-14.5,-2.327779318244657,
108,-14.5,-38.5,19.5,-2.37150003647965,136
108a,-22.5,-38.5,23.5,-2.140049778510843,
109,21.5,45.5,33.5,-2.298315022523999,104
110,-54.5,-56.5,25.5,-2.2950561857270255,176
111,15.5,15.5,49.5,-2.292077552881482,120
112,-30.5,-32.5,67.5,-2.277926621103754,120
113,53.5,-66.5,33.5,-2.2708202654353995,160
114,-56.5,-42.5,13.5,-2.25879991751514,224
114a,-56.5,-46.5,1.5,-2.0202472367538142,
115,-46.5,-66.5,23.5,-2.254690986817656,176
116,-32.5,-42.5,73.5,-2.2262799876490065,80
117,19.5,-0.5,9.5,-2.158225767507681,104
118,-34.5,-60.5,-30.5,-2.1542124547256023,80
